address,price,bedrooms,bathrooms,property_type,area,county,features,date_of_construction
"Lisnagar Demesne, Rathcormac, Co. Cork, P61DA00",1700000,5,7,Detached,rathcormac-cork,Cork,"Total land holding of approx. 10.45 Ha. (25.83 acres) to include 9.92 Ha. (24.51 acres) of arable land , Detached home of approx. 468.83 Sq. M. / 5,046 Sq. Ft., BER C1, Built in 1996, Access via a beautiful tree lined drive-way, Fully automated security gates / Full CCTV system / Commercially alarmed - intruder & fire, Stud railing, Single & three phase power / Back-up generator power supply, Private water supply / Drainage to septic tank / Pumped showers, Internet access",1966
"33 The Park, Janeville, Carrigaline, Co. Cork, P43N524",445000,3,3,Semi-D,carrigaline-cork,Cork,"Superb 3 Bedroomed Semi Detached Luxury Home, Cork Side of Carrigaline, Located close to the entrance of Janeville, close to the 220 bus route, A3 Energy Rating, Presented in superb condition throughout, Gas Zoned Heating, Bathrooms fully completed with tiling also, Double Driveway, Appliances included in the sale, Cul De Sac location",0
"8 Oblate Drive, Inchicore, Dublin 8, D08V6FV",325000,2,1,"End of Terrace",inchicore-dublin,Dublin,"Year of construction 1910, Recently refurbished, Red brick facade, End of terrace, Sash windows, Ample storage, Block shed, Engineered oak flooring, Fully integrated kitchen, High spec finish",1920
"23 Pine Road, The Woodlands, Portlaw, Co. Waterford, X91CHK3",360000,3,2,Detached,portlaw-waterford,Waterford,"Prime Location , PVC Double Glazing, Rear Enclosed Garden , Double Glazing , Patio Doors, Sunroom , Oil Fired Central Heating",2005
"115 Carrigweir, Tuam, Tuam, Co. Galway, H54YA24",375000,4,4,Detached,tuam-galway,Galway,"Impeccably Presented Turnkey Residence , Spacious Accommodation , Highly Energy Efficient, Wonderfully Located, 30 Minutes from Galway City, Walking Distance to Tuam Town, High Speed Broadband Available , Three Floors of Accommodation, Move-in Ready, Exceptional Value for Money",2006
"8 Wyse's Cottages, Blarney Street, Sunday's Well, Co. Cork, T23F8N8",275000,2,1,"End of Terrace",sunday-s-well-cork,Cork,"Fully upgraded throughout, New Gas Zoned Central Heating , Short Walk to Sundays Well, Close to Cork City, Ideal investment Property - no rental history , Private South Facing garden to the front, Cul De Sac, New PVC Double Glazed Windows, Newly wired throughout, Close to UCC",0
"25 The Hibernian, The Gasworks, South Lotts Road, Dublin 4, D04P6K2",395000,1,1,Apartment,dublin-4-dublin,Dublin,,2003
"21 The Granary, Abbeyknockmoy, Monivea, Co. Galway, H54XN47",330000,4,3,Semi-D,monivea-galway,Galway,"Spacious Family Residence, Not Overlooked to the Front or Back, Located in the Heart of Abbeyknockmoy Village, 5 Minute Drive to the Motorway, less than 30 Minutes to Galway City",2007
"C. 33.5 Acres At Balinaclough South, Fenor, Co. Waterford, Fenor, Co. Waterford",0,0,0,Site,fenor-waterford,Waterford,,0
"27 Rocklands Avenue, Ballybane, Galway City, Co. Galway, H91KWP8",330000,4,2,Semi-D,galway-city,Galway,"Large corner site, FOLIO GY5318F, Spacious 3 bedroom detached home, Generous front and rear gardens, Walking distance to schools, shops & ATU College, Well serviced by local amenities & sports facilities, Daily bus service to & from Galway city located nearby, Easy access to Galway City, M6 motorway & Oranmore, Moments of Galway Clinic & Merlin Park Hospital, Close to Boston Scientific, Merit Medical & Creganna",1978
"Rossaveel Upper, Ballynahown, Co. Galway, H91WP9C",475000,5,4,Detached,ballynahown-galway,Galway,,2009
"10 Stillorgan Gate, Kilmacud Road Upper, Kilmacud, Co. Dublin, D14RX06",1250000,4,3,Terrace,kilmacud-dublin,Dublin,,2018
"248 Laraghcon, Lucan, Co. Dublin, K78HN72",535000,4,3,"End of Terrace",lucan-dublin,Dublin,,2005
"Hilltop, Tumnahulla, Corrandulla, Co. Galway, H91A6FT",420000,3,2,Detached,corrandulla-galway,Galway,"Oil fired central heating., Water is Galway County Council supply with a septic tank onsite., Elevated site hence house name "Hilltop", No houses either side of house., High level of insulation throughout house with pumped cavity walls and attic insulation., Tar-mac drive, footpaths, patio., High speed broadband available., Mature fruit trees in rear garden., Double glazing throughout house., Fully tiled bathroom and en-suite with electric and power shower.",1970
"Rock House, Old Downs Road, Delgany, Co. Wicklow, A63YH31",1050000,3,1,Detached,delgany-wicklow,Wicklow,,0
"Cloghbrack Upper, Cloghbrack, Clonbur, Co. Galway, F12VF98",190000,4,1,Bungalow,clonbur-galway,Galway,"Scenic Location, Charming traditional features, Recently re-roofer and insultated, Accessibility friendly modifications",1956
"Moyveela, Oranmore, Co. Galway, H91RXA3",350000,3,1,Bungalow,oranmore-galway,Galway,"Site of 0.4 acre approx., Spacious 3 bed detached home, Built c.1966, Generous gardens to front and rear",1966
"Boleybeg East, Barna, H91K230",695000,5,3,Detached,barna-galway,Galway,"Built Circa 2004, Spacious detached c 215 sqm, Mature private landscaped site, Rural setting closed to Galway City, Walking distance to Drom playing fields, Easy access to UCHG & University of Galway, Several schools, shops & parks in the area, Substantial gardens front, side & rear",2003
"94 Old Cabra Road, Dublin 7, Navan Road (D7), Dublin 7, D07F2P7",1250000,3,3,Semi-D,navan-road-d7-dublin,Dublin,"Turnkey condition, Modern finish throughout, Large rear garden, Excellent location., Space for 3 cars for off street parking, Electric gate & state of the art security system installed, renovated to a very high standard throughout, Floored attic space for extra storage, Large attic",1928
"22 Patrick Street, Dun Laoghaire, Co. Dublin, A96CF51",495000,2,1,Terrace,dun-laoghaire-dublin,Dublin,"Charming two-bedroom mid-terrace period home in a highly convenient location, West facing rear courtyard, Gas fired central heating, Fantastic location in the heart of Dun Laoghaire, Excellent transport links including DART several bus routes (QBC) Aircoach M50 and N11, On street permit parking, BER D2",1905
"16 The Waterfront, Bridge Street, Galway City Centre, H91K6K7",475000,3,2,Apartment,N/A,N/A,"Spacious upper floor apartment, Excellent condition, Abundance of accommodation, Security doors & lift access, City Centre location, Corner balcony with River outlook, City living at its finest, Walking distance to Galway University",1994
"Cloverhill, Sligo, Co. Sligo, F91H5V2",645000,5,3,Detached,sligo-sligo,Sligo,"uPVC Double Glazed Windows & Doors, Solid Oak Doors & Stairs, BEAM Vacuum System, Enjoys 1GB Fibre Broadband, Stands on c. 0.84 acres with large Detached Garage, Ample Parking to Front Side & Rear, Mature Landscaped Gardens Surround, Scenic & Quiet Residential Area, Oil Fired Central Heating Solid Fuel Burning Stove & Raised Gas Fire, Alarmed",2006
"4 Earlsfort View, Lucan, Co. Dublin, K78HH52",385000,3,1,Semi-D,lucan-dublin,Dublin,,1995
"Aille, Barna, Co. Galway, H91P58F",600000,4,2,Detached,barna-galway,Galway,"Large detached residence, Spacious site of approximately 0.76 acres, Manicured green & private surroundings, Thoughtfully postioned outdoor patios, Sought after southerly aspect, Abundance of accommodation & reception spaces, Plentiful natural light, Popular residential area, Close proximity to Barna Village, Well serviced for nearby amenities in Barna & Knocknacarra",1978
"Lower Ballygarvan, Ballygarvan, Co. Cork, T12AH31",625000,4,3,Detached,ballygarvan-cork,Cork,"Beautiful Detached on a wonderful setting, Standing on 1.2acres of mature gardens, 4 Double bedrooms, Detached Concrete built Garage, Spacious parking area, PVC Double Glazed Windows, Close to Cork Airport, CUH, Ringaskiddy, Kinsale, Oil Central Heating, 10mins from Carrigaline, South Facing",1991
"98 Tudor Grove, Ashbourne, Ashbourne, Co. Meath, A84E671",495000,4,3,Detached,ashbourne-meath,Meath,"Spacious Four Bedroom Residence , Beautiful Light Filled Extension, Close to all Amenities",1991
"Kenah Hill, St George's Avenue, Killiney, Co Dublin, A96PY79",10750000,7,7,Detached,killiney-dublin,Dublin,"Special Features, Distinctive Victorian Residence, Seven bedrooms with separate guest quarters, Indoor Swimming pool, solarium and bar, All-weather tennis court, Breath-taking panoramic sea views, Exceptional luxurious interiors, Tall ceiling heights and ornate cornice work, Hand painted wall treatments, gilding and rich silk wallpapers, Sweeping cantilevered staircase",0
"Grandale, 77 Hawthorn Drive, Waterford City, Co. Waterford, X91V30A",225000,3,1,Semi-D,waterford-city,Waterford,,0
"Cleadagh Cottage, Cleadagh, Spanish Point, Co. Clare, V95CX26",625000,3,2,Detached,spanish-point-clare,Clare,"Stunning sea views, Prime location within a short distance of Spanish Point, Selection of beaches, restaurants, cafes, hotels, golf course, etc in close proximity , Large site (5.14 acres) with direct access onto the coastline, Adjoining garage and spacious 61 sq. metre studio and mezzanine area with potential for multiple use, Eircode V95 CX26, Folio No: CE28119 and CE43390F",1968
"Dunamaise, Johnduffswood, Oldleighlin, Co. Carlow, R93WF10",425000,4,4,Detached,oldleighlin-carlow,Carlow,,2009
"Oak Vale Meadows, Stradbally, Co. Laois",345000,3,3,Semi-D,stradbally-laois,Laois,"ICF Construction, NZeb Quality Homes, Home Bond Scheme, Last few homes, Excellent Build quality, Maintenance-free exteriors., Tasteful mix of brick and, render., PVC fascia, gutters and downpipes., Composite front doors with secure locking system.",0
"Apartment 1, Kingston House, Barna Road, Kingston, Co. Galway, H91RK46",350000,3,2,Apartment,kingston-galway,Galway,"Three bed ground floor apartment, Popular location on main Barna Road, Small development of 4 apartments, Ample parking - Bike & Bin storage to rear, Management Fee circa &#x20AC;1855 pa, Feature wooden flooring - Master bedroom en suite, Electric storage heaters & double glazing, Close to Barna Woods, Cappagh Park & Rusheen Bay, Easy access to Galway City, UCHG & University of Galway, Moments from Tesco , Aldi and Knocknacarra Retail Park",2008
"2 Costello Road, H91HP6W",0,2,1,Terrace,shantalla-galway,Galway,"Built c. mid 1940's, Solid fuel central heating, Front and rear gardens, On street parking, Close to University and hospital., Vacant prior to Covid 19 pandemic lockdown., Should qualify for Vacant Property Refurbishment Grant.",1950
"148 Clochrn, Kilcloghans, Tuam, Co. Galway, H54D762",315000,4,3,Semi-D,tuam-galway,Galway,"Delighfuly Presented, Fully Upgraded, Beautifully Designed Back Garden, Premium Kitchen, Spacious Interior, Wonderful Location, Adjacent to Motorway Connection, 30 Minutes from Galway City, Turnkey Condition ",2005
